,target,benchmark,Job,RAPL,Os,sensor
177,normal_normal_LU_A_1_12,LU,9791.202823671752,16754.21646118164,844.3489186535902,dahu-28
178,normal_normal_LU_A_1_13,LU,9806.021463073594,16875.638061523438,893.3074031429843,dahu-28
179,normal_normal_LU_A_1_14,LU,9925.452205182588,16928.803802490234,717.5473242670207,dahu-28
180,normal_normal_LU_A_1_15,LU,9872.447668131475,16890.341705322266,770.3963367206791,dahu-28
181,normal_normal_LU_A_1_16,LU,9848.232198385656,16858.11685180664,759.184882531709,dahu-28
182,normal_normal_LU_A_1_17,LU,9972.79070463749,17000.099487304688,742.6905181984346,dahu-28
183,normal_normal_LU_A_1_18,LU,10032.645326845317,17095.619720458984,779.1452088514542,dahu-28
184,normal_normal_LU_A_1_19,LU,10043.951456176723,17098.91680908203,793.1907623808233,dahu-28
185,normal_normal_LU_A_1_2,LU,9146.018847531315,16261.681274414062,650.8500908799695,dahu-28
186,normal_normal_LU_A_1_20,LU,9702.393966918984,16703.049560546875,660.2125344005437,dahu-28
187,normal_normal_LU_A_1_21,LU,6947.490558000247,12684.11083984375,5438.646726264523,dahu-28
188,normal_normal_LU_A_1_22,LU,9293.662585568298,16208.369689941406,799.9624363627182,dahu-28
189,normal_normal_LU_A_1_23,LU,7539.947904818919,13313.91571044922,644.3287258662541,dahu-28
190,normal_normal_LU_A_1_24,LU,7753.741570358262,13682.445861816406,633.6316133854381,dahu-28
191,normal_normal_LU_A_1_25,LU,6145.332595484295,10978.058502197266,4721.22188401707,dahu-28
192,normal_normal_LU_A_1_26,LU,8633.7259526552,14884.516540527344,839.2240531384746,dahu-28
193,normal_normal_LU_A_1_27,LU,8694.171602146936,15247.54443359375,1052.9504428833775,dahu-28
194,normal_normal_LU_A_1_28,LU,9922.464377620288,17073.539337158203,2157.069389905724,dahu-28
195,normal_normal_LU_A_1_29,LU,9958.049100680622,17129.651763916016,1092.2474690732713,dahu-28
196,normal_normal_LU_A_1_3,LU,9733.625849587144,16842.195861816406,747.0315988252572,dahu-28
197,normal_normal_LU_A_1_30,LU,9845.971256871895,17114.153228759766,1071.147551051735,dahu-28
198,normal_normal_LU_A_1_4,LU,5533.146931910563,11022.70248413086,4616.293167356262,dahu-28
199,normal_normal_LU_A_1_5,LU,9536.867598595214,16560.685668945312,507.4211819524397,dahu-28
200,normal_normal_LU_A_1_6,LU,9790.015530718443,16790.98193359375,494.6681361612466,dahu-28
201,normal_normal_LU_A_1_7,LU,9692.209485215171,16595.854217529297,608.3033817810655,dahu-28
202,normal_normal_LU_A_1_8,LU,8876.864690774437,15608.595001220703,916.6186975301464,dahu-28
203,normal_normal_LU_A_1_9,LU,8204.773921937109,14516.327697753906,893.8904476068549,dahu-28
