,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,bench,class,Nbprocess,y_ax,RAPL_ENERGY_PKG_BOTH
836,normal_test_CG_C_32_18,86.17121887207031,195.4897003173828,1468.2303466796875,1493.7828674316406,2019-08-01 08:35:36.278,2019-08-01 08:35:48.288,18,3243.6741333007812,6487.3482666015625,Dahu25,12.01,249.51339486929086,normal,CG,C,32,normal,2962.013214111328
880,normal_test_CG_C_32_19,92.91267395019531,211.3820343017578,1570.1107177734375,1609.5857849121094,2019-08-01 08:35:52.293,2019-08-01 08:36:05.305,19,3483.9912109375,6967.982421875,Dahu25,13.012,248.85651506696428,normal,CG,C,32,normal,3179.696502685547
926,normal_test_CG_C_32_20,213.86504364013672,97.83200073242188,1638.5280456542969,1245.7264709472656,2019-08-01 08:36:08.311,2019-08-01 08:36:21.327,20,3195.951560974121,6391.903121948242,Dahu25,13.016,228.28225435529436,normal,CG,C,32,normal,2884.2545166015625
973,normal_test_EP_B_1_1,494.97569274902344,287.5793685913086,5308.611480712891,3210.371856689453,2019-08-01 08:36:24.331,2019-08-01 08:37:35.372,1,9301.538398742676,18603.07679748535,Dahu25,71.041,129.18803331587048,normal,EP,B,1,normal,8518.983337402344
1193,normal_test_EP_B_1_2,249.73236846923828,494.5992736816406,4130.630218505859,3739.7793884277344,2019-08-01 08:37:38.377,2019-08-01 08:38:46.428,2,8614.741249084473,17229.482498168945,Dahu25,68.051,124.85132245049961,normal,EP,B,1,normal,7870.409606933594
1405,normal_test_EP_B_1_3,259.0851135253906,516.7409133911133,4335.009063720703,3873.772979736328,2019-08-01 08:38:50.433,2019-08-01 08:40:01.485,3,8984.608070373535,17969.21614074707,Dahu25,71.052,124.78622319963243,normal,EP,B,1,normal,8208.782043457031
1625,normal_test_EP_B_1_4,258.47662353515625,514.731689453125,4361.334075927734,3846.7069702148438,2019-08-01 08:40:04.489,2019-08-01 08:41:15.530,4,8981.24935913086,17962.49871826172,Dahu25,71.041,124.73957443237305,normal,EP,B,1,normal,8208.041046142578
1846,normal_test_EP_B_1_5,470.96319580078125,268.61927795410156,4879.877868652344,3002.7100830078125,2019-08-01 08:41:18.534,2019-08-01 08:42:26.573,5,8622.170425415039,17244.340850830078,Dahu25,68.039,124.95899167268172,normal,EP,B,1,normal,7882.587951660156
2056,normal_test_EP_B_1_6,471.4639892578125,267.84391021728516,4910.216003417969,3006.4327087402344,2019-08-01 08:42:29.579,2019-08-01 08:43:37.629,6,8655.9566116333,17311.9132232666,Dahu25,68.05,125.44864654541016,normal,EP,B,1,normal,7916.648712158203
2268,normal_test_EP_B_1_7,255.91024780273438,513.2271499633789,4247.326507568359,3802.128662109375,2019-08-01 08:43:40.634,2019-08-01 08:44:51.685,7,8818.592567443848,17637.185134887695,Dahu25,71.051,122.480452325609,normal,EP,B,1,normal,8049.455169677734
