,target,sensor,benchmark,mode,mode2,number,cpu
182,normal_reboot_CG_C_32_39,runningmodesxDahu25,CG,normal,reboot,39,1769.5093383789062
183,normal_reboot_CG_C_32_4,runningmodesxDahu25,CG,normal,reboot,4,1785.7715454101562
184,normal_reboot_CG_C_32_40,runningmodesxDahu25,CG,normal,reboot,40,1766.8316345214844
185,normal_reboot_CG_C_32_41,runningmodesxDahu25,CG,normal,reboot,41,1765.900634765625
186,normal_reboot_CG_C_32_42,runningmodesxDahu25,CG,normal,reboot,42,1765.29150390625
187,normal_reboot_CG_C_32_43,runningmodesxDahu25,CG,normal,reboot,43,1765.0765380859375
188,normal_reboot_CG_C_32_44,runningmodesxDahu25,CG,normal,reboot,44,1765.0285034179688
189,normal_reboot_CG_C_32_45,runningmodesxDahu25,CG,normal,reboot,45,1906.2143859863281
190,normal_reboot_CG_C_32_46,runningmodesxDahu25,CG,normal,reboot,46,1769.85546875
191,normal_reboot_CG_C_32_47,runningmodesxDahu25,CG,normal,reboot,47,1765.5621643066406
192,normal_reboot_CG_C_32_48,runningmodesxDahu25,CG,normal,reboot,48,1764.58251953125
193,normal_reboot_CG_C_32_49,runningmodesxDahu25,CG,normal,reboot,49,1764.7102966308594
194,normal_reboot_CG_C_32_5,runningmodesxDahu25,CG,normal,reboot,5,1778.5255432128906
195,normal_reboot_CG_C_32_50,runningmodesxDahu25,CG,normal,reboot,50,1778.3359680175781
196,normal_reboot_CG_C_32_6,runningmodesxDahu25,CG,normal,reboot,6,1784.8434143066406
197,normal_reboot_CG_C_32_7,runningmodesxDahu25,CG,normal,reboot,7,1781.789306640625
198,normal_reboot_CG_C_32_8,runningmodesxDahu25,CG,normal,reboot,8,1781.2984313964844
199,normal_reboot_CG_C_32_9,runningmodesxDahu25,CG,normal,reboot,9,1785.4420166015625
200,normal_reboot_EP_B_1_50p_1,runningmodesxDahu25,EP,normal,reboot,1,7862.046722412109
201,normal_reboot_EP_B_1_50p_10,runningmodesxDahu25,EP,normal,reboot,10,7293.570617675781
202,normal_reboot_EP_B_1_50p_11,runningmodesxDahu25,EP,normal,reboot,11,7283.520904541016
203,normal_reboot_EP_B_1_50p_12,runningmodesxDahu25,EP,normal,reboot,12,7296.712005615234
204,normal_reboot_EP_B_1_50p_13,runningmodesxDahu25,EP,normal,reboot,13,7386.1383056640625
205,normal_reboot_EP_B_1_50p_14,runningmodesxDahu25,EP,normal,reboot,14,7386.412567138672
206,normal_reboot_EP_B_1_50p_15,runningmodesxDahu25,EP,normal,reboot,15,7298.555908203125
207,normal_reboot_EP_B_1_50p_16,runningmodesxDahu25,EP,normal,reboot,16,7290.213226318359
208,normal_reboot_EP_B_1_50p_17,runningmodesxDahu25,EP,normal,reboot,17,7298.335601806641
209,normal_reboot_EP_B_1_50p_18,runningmodesxDahu25,EP,normal,reboot,18,7284.910583496094
210,normal_reboot_EP_B_1_50p_19,runningmodesxDahu25,EP,normal,reboot,19,7295.935241699219
211,normal_reboot_EP_B_1_50p_2,runningmodesxDahu25,EP,normal,reboot,2,7287.920623779297
212,normal_reboot_EP_B_1_50p_20,runningmodesxDahu25,EP,normal,reboot,20,7294.175445556641
213,normal_reboot_EP_B_1_50p_21,runningmodesxDahu25,EP,normal,reboot,21,7291.9368896484375
214,normal_reboot_EP_B_1_50p_22,runningmodesxDahu25,EP,normal,reboot,22,7531.575256347656
215,normal_reboot_EP_B_1_50p_23,runningmodesxDahu25,EP,normal,reboot,23,7301.206207275391
216,normal_reboot_EP_B_1_50p_24,runningmodesxDahu25,EP,normal,reboot,24,7395.792510986328
217,normal_reboot_EP_B_1_50p_25,runningmodesxDahu25,EP,normal,reboot,25,7384.200286865234
218,normal_reboot_EP_B_1_50p_26,runningmodesxDahu25,EP,normal,reboot,26,7288.449676513672
219,normal_reboot_EP_B_1_50p_27,runningmodesxDahu25,EP,normal,reboot,27,7380.814025878906
220,normal_reboot_EP_B_1_50p_28,runningmodesxDahu25,EP,normal,reboot,28,7276.086700439453
221,normal_reboot_EP_B_1_50p_29,runningmodesxDahu25,EP,normal,reboot,29,7304.266021728516
222,normal_reboot_EP_B_1_50p_3,runningmodesxDahu25,EP,normal,reboot,3,7394.009124755859
223,normal_reboot_EP_B_1_50p_30,runningmodesxDahu25,EP,normal,reboot,30,7288.382019042969
224,normal_reboot_EP_B_1_50p_31,runningmodesxDahu25,EP,normal,reboot,31,7396.0009765625
225,normal_reboot_EP_B_1_50p_32,runningmodesxDahu25,EP,normal,reboot,32,7380.549530029297
226,normal_reboot_EP_B_1_50p_33,runningmodesxDahu25,EP,normal,reboot,33,7282.800384521484
227,normal_reboot_EP_B_1_50p_34,runningmodesxDahu25,EP,normal,reboot,34,7286.938659667969
228,normal_reboot_EP_B_1_50p_35,runningmodesxDahu25,EP,normal,reboot,35,7287.073669433594
229,normal_reboot_EP_B_1_50p_36,runningmodesxDahu25,EP,normal,reboot,36,7410.931182861328
230,normal_reboot_EP_B_1_50p_37,runningmodesxDahu25,EP,normal,reboot,37,7385.470855712891
231,normal_reboot_EP_B_1_50p_38,runningmodesxDahu25,EP,normal,reboot,38,7299.190521240234
232,normal_reboot_EP_B_1_50p_39,runningmodesxDahu25,EP,normal,reboot,39,7291.731872558594
233,normal_reboot_EP_B_1_50p_4,runningmodesxDahu25,EP,normal,reboot,4,7395.3175048828125
234,normal_reboot_EP_B_1_50p_40,runningmodesxDahu25,EP,normal,reboot,40,7286.7349853515625
235,normal_reboot_EP_B_1_50p_41,runningmodesxDahu25,EP,normal,reboot,41,7292.376373291016
236,normal_reboot_EP_B_1_50p_42,runningmodesxDahu25,EP,normal,reboot,42,7537.791656494141
237,normal_reboot_EP_B_1_50p_43,runningmodesxDahu25,EP,normal,reboot,43,7301.346221923828
238,normal_reboot_EP_B_1_50p_44,runningmodesxDahu25,EP,normal,reboot,44,7387.781219482422
239,normal_reboot_EP_B_1_50p_45,runningmodesxDahu25,EP,normal,reboot,45,7297.492462158203
240,normal_reboot_EP_B_1_50p_46,runningmodesxDahu25,EP,normal,reboot,46,7287.508575439453
241,normal_reboot_EP_B_1_50p_47,runningmodesxDahu25,EP,normal,reboot,47,7286.133209228516
242,normal_reboot_EP_B_1_50p_48,runningmodesxDahu25,EP,normal,reboot,48,7299.591522216797
243,normal_reboot_EP_B_1_50p_49,runningmodesxDahu25,EP,normal,reboot,49,7285.4957275390625
244,normal_reboot_EP_B_1_50p_5,runningmodesxDahu25,EP,normal,reboot,5,7241.7034912109375
245,normal_reboot_EP_B_1_50p_50,runningmodesxDahu25,EP,normal,reboot,50,7404.446075439453
246,normal_reboot_EP_B_1_50p_6,runningmodesxDahu25,EP,normal,reboot,6,7291.585968017578
247,normal_reboot_EP_B_1_50p_7,runningmodesxDahu25,EP,normal,reboot,7,7283.609161376953
248,normal_reboot_EP_B_1_50p_8,runningmodesxDahu25,EP,normal,reboot,8,7295.585174560547
249,normal_reboot_EP_B_1_50p_9,runningmodesxDahu25,EP,normal,reboot,9,7300.870208740234
250,normal_reboot_LU_C_64_1,runningmodesxDahu25,LU,normal,reboot,1,6750.052917480469
251,normal_reboot_LU_C_64_10,runningmodesxDahu25,LU,normal,reboot,10,6487.794158935547
252,normal_reboot_LU_C_64_11,runningmodesxDahu25,LU,normal,reboot,11,6491.391174316406
253,normal_reboot_LU_C_64_12,runningmodesxDahu25,LU,normal,reboot,12,6739.068572998047
254,normal_reboot_LU_C_64_13,runningmodesxDahu25,LU,normal,reboot,13,6746.14794921875
255,normal_reboot_LU_C_64_14,runningmodesxDahu25,LU,normal,reboot,14,6496.424743652344
256,normal_reboot_LU_C_64_15,runningmodesxDahu25,LU,normal,reboot,15,6504.100372314453
257,normal_reboot_LU_C_64_16,runningmodesxDahu25,LU,normal,reboot,16,6677.26171875
258,normal_reboot_LU_C_64_17,runningmodesxDahu25,LU,normal,reboot,17,6740.753570556641
259,normal_reboot_LU_C_64_18,runningmodesxDahu25,LU,normal,reboot,18,6471.2352294921875
260,normal_reboot_LU_C_64_19,runningmodesxDahu25,LU,normal,reboot,19,6740.933380126953
261,normal_reboot_LU_C_64_2,runningmodesxDahu25,LU,normal,reboot,2,6484.769104003906
262,normal_reboot_LU_C_64_20,runningmodesxDahu25,LU,normal,reboot,20,6483.843109130859
263,normal_reboot_LU_C_64_21,runningmodesxDahu25,LU,normal,reboot,21,6742.7645263671875
264,normal_reboot_LU_C_64_22,runningmodesxDahu25,LU,normal,reboot,22,6719.740936279297
265,normal_reboot_LU_C_64_23,runningmodesxDahu25,LU,normal,reboot,23,6740.835174560547
266,normal_reboot_LU_C_64_24,runningmodesxDahu25,LU,normal,reboot,24,6467.081146240234
267,normal_reboot_LU_C_64_25,runningmodesxDahu25,LU,normal,reboot,25,6744.942596435547
268,normal_reboot_LU_C_64_26,runningmodesxDahu25,LU,normal,reboot,26,6488.12353515625
269,normal_reboot_LU_C_64_27,runningmodesxDahu25,LU,normal,reboot,27,6713.466552734375
270,normal_reboot_LU_C_64_28,runningmodesxDahu25,LU,normal,reboot,28,6944.567962646484
271,normal_reboot_LU_C_64_29,runningmodesxDahu25,LU,normal,reboot,29,6691.575469970703
272,normal_reboot_LU_C_64_3,runningmodesxDahu25,LU,normal,reboot,3,6704.6431884765625
273,normal_reboot_LU_C_64_30,runningmodesxDahu25,LU,normal,reboot,30,6485.773040771484
274,normal_reboot_LU_C_64_31,runningmodesxDahu25,LU,normal,reboot,31,6675.932678222656
275,normal_reboot_LU_C_64_32,runningmodesxDahu25,LU,normal,reboot,32,6675.902801513672
276,normal_reboot_LU_C_64_33,runningmodesxDahu25,LU,normal,reboot,33,6745.215972900391
277,normal_reboot_LU_C_64_34,runningmodesxDahu25,LU,normal,reboot,34,6658.589019775391
278,normal_reboot_LU_C_64_35,runningmodesxDahu25,LU,normal,reboot,35,7002.462799072266
279,normal_reboot_LU_C_64_36,runningmodesxDahu25,LU,normal,reboot,36,6752.304260253906
280,normal_reboot_LU_C_64_37,runningmodesxDahu25,LU,normal,reboot,37,6700.637603759766
