,Unnamed: 0,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
45,4521,normal_normal_LU_C_64_46,349.42564392089844,358.16656494140625,3253.180694580078,3258.915435791016,2019-06-07 09:40:04.778,2019-06-07 09:40:30.803,46,707.5922088623047,6512.096130371094,allmodes,26.025,241.18874556929973,normal,normal,LU,C,64,normal normal
46,4607,normal_normal_LU_C_64_47,347.6736297607422,359.53624725341797,3255.550048828125,3258.667449951172,2019-06-07 09:40:34.807,2019-06-07 09:41:00.835,47,707.2098770141603,6514.217498779297,allmodes,26.028000000000002,241.2673147696036,normal,normal,LU,C,64,normal normal
47,4694,normal_normal_LU_C_64_48,350.5251007080078,358.15135192871094,3255.8229370117188,3259.098358154297,2019-06-07 09:41:04.841,2019-06-07 09:41:30.865,48,708.6764526367188,6514.921295166016,allmodes,26.024,241.29338130244503,normal,normal,LU,C,64,normal normal
48,4779,normal_normal_LU_C_64_49,357.0579071044922,370.93406677246094,3360.4727783203125,3365.4833374023438,2019-06-07 09:41:33.869,2019-06-07 09:42:00.898,49,727.9919738769531,6725.956115722656,allmodes,27.029,240.2127184186663,normal,normal,LU,C,64,normal normal
49,4867,normal_normal_LU_C_64_50,361.3794479370117,368.181884765625,3369.36669921875,3373.6610717773438,2019-06-07 09:42:03.902,2019-06-07 09:42:30.933,50,729.5613327026367,6743.027770996094,allmodes,27.031,240.82242039271762,normal,normal,LU,C,64,normal normal
50,4955,normal_normal_LU_C_64_51,359.02742767333984,371.03846740722656,3374.5858154296875,3378.2921752929688,2019-06-07 09:42:33.937,2019-06-07 09:43:00.963,51,730.0658950805664,6752.877990722656,allmodes,27.026,241.17421395438058,normal,normal,LU,C,64,normal normal
51,5043,normal_normal_LU_C_64_52,349.81156158447266,356.99229431152344,3255.1517028808594,3258.65380859375,2019-06-07 09:43:03.968,2019-06-07 09:43:29.995,52,706.8038558959961,6513.805511474609,allmodes,26.026999999999997,241.2520559805411,normal,normal,LU,C,64,normal normal
52,5128,normal_normal_LU_C_64_53,357.2308883666992,370.9214782714844,3359.0826110839844,3364.946502685547,2019-06-07 09:43:33.000,2019-06-07 09:44:00.025,53,728.1523666381836,6724.029113769531,allmodes,27.025,240.1438969203404,normal,normal,LU,C,64,normal normal
53,5218,normal_normal_LU_C_64_54,345.9671630859375,358.3740234375,3256.004608154297,3258.5770568847656,2019-06-07 09:44:04.031,2019-06-07 09:44:30.060,54,704.3411865234375,6514.5816650390625,allmodes,26.029,241.28080240885413,normal,normal,LU,C,64,normal normal
54,5305,normal_normal_LU_C_64_55,347.2743148803711,360.7277526855469,3255.280548095703,3260.417694091797,2019-06-07 09:44:34.065,2019-06-07 09:45:00.097,55,708.002067565918,6515.6982421875,allmodes,26.031999999999996,241.32215711805557,normal,normal,LU,C,64,normal normal
55,5392,normal_normal_LU_C_64_56,348.6836700439453,356.7140579223633,3256.6886291503906,3259.963836669922,2019-06-07 09:45:04.104,2019-06-07 09:45:30.130,56,705.3977279663086,6516.6524658203125,allmodes,26.026,241.35749873408562,normal,normal,LU,C,64,normal normal
56,5479,normal_normal_LU_C_64_57,347.1768951416016,359.71533966064453,3254.7695922851562,3257.8882446289062,2019-06-07 09:45:34.136,2019-06-07 09:46:00.163,57,706.8922348022461,6512.6578369140625,allmodes,26.026999999999997,241.20954951533562,normal,normal,LU,C,64,normal normal
57,5565,normal_normal_LU_C_64_58,361.9483642578125,370.7339706420898,3358.013427734375,3362.6778564453125,2019-06-07 09:46:03.169,2019-06-07 09:46:30.196,58,732.6823348999022,6720.6912841796875,allmodes,27.026999999999997,240.02468872070312,normal,normal,LU,C,64,normal normal
58,5652,normal_normal_LU_C_64_59,360.5689239501953,368.5006866455078,3358.172821044922,3364.129180908203,2019-06-07 09:46:33.201,2019-06-07 09:47:00.227,59,729.0696105957031,6722.302001953125,allmodes,27.026,240.08221435546875,normal,normal,LU,C,64,normal normal
59,5740,normal_normal_LU_C_64_60,362.4833831787109,367.8402786254883,3365.999755859375,3372.0660095214844,2019-06-07 09:47:03.233,2019-06-07 09:47:30.263,60,730.3236618041992,6738.065765380859,allmodes,27.03,240.64520590645927,normal,normal,LU,C,64,normal normal
60,5828,normal_normal_LU_C_64_61,363.6758270263672,369.54483795166016,3367.4384765625,3372.306671142578,2019-06-07 09:47:33.269,2019-06-07 09:48:00.298,61,733.2206649780272,6739.745147705078,allmodes,27.029,240.70518384660994,normal,normal,LU,C,64,normal normal
61,5916,normal_normal_LU_C_64_62,348.62738037109375,357.9436950683594,3255.477020263672,3259.384765625,2019-06-07 09:48:03.302,2019-06-07 09:48:29.330,62,706.5710754394531,6514.861785888672,allmodes,26.028000000000002,241.291177255136,normal,normal,LU,C,64,normal normal
62,6003,normal_normal_LU_C_64_63,349.4384536743164,356.60001373291016,3255.8034057617188,3258.474639892578,2019-06-07 09:48:33.336,2019-06-07 09:48:59.365,63,706.0384674072266,6514.278045654297,allmodes,26.029,241.26955724645543,normal,normal,LU,C,64,normal normal
63,6089,normal_normal_LU_C_64_64,358.0518264770508,370.2856597900391,3361.5296325683594,3369.313873291016,2019-06-07 09:49:02.370,2019-06-07 09:49:29.402,64,728.3374862670897,6730.843505859375,allmodes,27.031999999999996,240.38726806640625,normal,normal,LU,C,64,normal normal
64,6176,normal_normal_LU_C_64_65,388.81485748291016,366.86058807373047,3493.3380126953125,3495.7906494140625,2019-06-07 09:49:32.408,2019-06-07 09:50:00.435,65,755.6754455566406,6989.128662109375,allmodes,28.026999999999997,241.00443662446116,normal,normal,LU,C,64,normal normal
65,6267,normal_normal_LU_C_64_66,362.495735168457,371.3665313720703,3369.5309448242188,3373.3192138671875,2019-06-07 09:50:03.441,2019-06-07 09:50:30.467,66,733.8622665405272,6742.850158691406,allmodes,27.026,240.81607709612166,normal,normal,LU,C,64,normal normal
66,6356,normal_normal_LU_C_64_67,356.9489517211914,375.7802581787109,3378.5751953125,3382.8536376953125,2019-06-07 09:50:33.472,2019-06-07 09:51:00.500,67,732.7292098999022,6761.4288330078125,allmodes,27.028000000000002,241.4796011788505,normal,normal,LU,C,64,normal normal
67,6444,normal_normal_LU_C_64_68,358.81373596191406,372.01719665527344,3376.516265869141,3381.094573974609,2019-06-07 09:51:03.505,2019-06-07 09:51:30.535,68,730.8309326171875,6757.61083984375,allmodes,27.03,241.3432442801339,normal,normal,LU,C,64,normal normal
68,6531,normal_normal_LU_C_64_69,360.8299331665039,369.5271224975586,3373.5593872070312,3378.705047607422,2019-06-07 09:51:33.540,2019-06-07 09:52:00.572,69,730.3570556640625,6752.264434814453,allmodes,27.031999999999996,241.1523012433733,normal,normal,LU,C,64,normal normal
69,6619,normal_normal_LU_C_64_70,348.2956085205078,357.841552734375,3254.995391845703,3259.4097595214844,2019-06-07 09:52:03.577,2019-06-07 09:52:29.605,70,706.1371612548828,6514.4051513671875,allmodes,26.028000000000002,241.27426486545139,normal,normal,LU,C,64,normal normal
70,6704,normal_normal_LU_C_64_71,361.7363128662109,367.49536895751953,3358.188140869141,3361.957244873047,2019-06-07 09:52:32.610,2019-06-07 09:52:59.641,71,729.2316818237305,6720.1453857421875,allmodes,27.031,240.0051923479353,normal,normal,LU,C,64,normal normal
71,6792,normal_normal_LU_C_64_72,359.88706970214844,374.3930435180664,3366.220245361328,3370.5252990722656,2019-06-07 09:53:02.647,2019-06-07 09:53:29.675,72,734.2801132202147,6736.745544433594,allmodes,27.028000000000002,240.59805515834262,normal,normal,LU,C,64,normal normal
72,6880,normal_normal_LU_C_64_73,362.6180267333984,370.1356201171875,3375.695068359375,3379.1998901367188,2019-06-07 09:53:32.680,2019-06-07 09:53:59.709,73,732.7536468505859,6754.894958496094,allmodes,27.029,241.24624851771762,normal,normal,LU,C,64,normal normal
73,6969,normal_normal_LU_C_64_74,356.3500442504883,374.2136993408203,3374.9578247070312,3381.650604248047,2019-06-07 09:54:02.715,2019-06-07 09:54:29.744,74,730.5637435913086,6756.608428955078,allmodes,27.029,241.30744389125283,normal,normal,LU,C,64,normal normal
74,7056,normal_normal_LU_C_64_75,357.7279281616211,371.8248901367188,3368.0650024414062,3374.9288330078125,2019-06-07 09:54:32.750,2019-06-07 09:54:59.793,75,729.5528182983397,6742.993835449219,allmodes,27.043000000000003,240.82120840890067,normal,normal,LU,C,64,normal normal
